@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data
'beginuserdoc the bswitchb for the models inheritance hierarchy supports the call link doswitcheobject doswitchobject invoke the codecasexxxcode method for each class the model starting with the actual class the object and proceeding the inheritance hierarchy until nonnull result returned which the result the switch enduserdoc see generated ',negative
'its newly allocated add new value and indicate there was previous value ',negative
'nonjavadoc see ',negative
'dont use cotinue for this loop singlerange fromtorange subtraction ',negative
'initializing the character flag array code generated xmlchargenerator ',negative
'forward the interned value ',negative
'well assume that the copy command can execute and that adding copy the clipboard the same test adding the clipboard contents itself ',negative
'its parameterized type ',negative
'both prefix any localpart must valid ncname ',negative
'the instance class name the erasure ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'the name isnt qualified name and isnt primitive type its assumed denote some arbitrary type parameter ',negative
'fill value byte ',negative
'sure pick any trailing brackets ',negative
'the bundle cant found the normal way try find the base url that also doesnt work rethrow the original exception ',negative
'the first character special character something other than ',negative
'note isrelative hierarchical ',negative
'returns null the specified value null would valid path segment array uri otherwise the value the first invalid segment ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'the start source uri annotation ',negative
'recompute the read only state ',negative
'return value null validatevalue segmentcharhi segmentcharlo true true ',negative
'refresh any actions that may become enabled disabled ',negative
'through class super types catch constraints from other packages ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'empty ',negative
'fill value byte fill value byte ',negative
'note authority null hierarchical authority null device null absolutepath scheme null ',negative
'fill value byte fill value byte fill value byte ',negative
'the node less than line long but its contents replaced multiple lines comment out each line ',negative
'fill value byte fill value byte fill value byte fill value byte ',negative
'find the closing ',negative
'nonjavadoc see ',negative
'cause syntax error ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'decode all encoded characters ',negative
'that fails determine the url for the class itself the url will one the following forms there are few good places consider looking for the pluginproperties for pluginxml with runtimecommonjar for pluginxml with for pluginxml with runtime where the plugin jarred for pluginxml with runtime where the plugin not jarred running pde with bin classpath ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'check for count followed number ',negative
'look for trailing count ',negative
'look for matching named element ',negative
'return econtainerfeatureid ',negative
'find the uppermost class loader the hierarchy that can load the class ',negative
'fill value byte fill value byte fill value byte ',negative
'jcontrolmodelclass used with classnames that were not found ',negative
'fill value byte fill value byte fill value byte ',negative
'register with the upper most class loader thats able load the class ',negative
'fill value byte fill value byte ',negative
'this lets test whether the string exists file not try uri ',negative
'its wildcard group feature also make featuremaptyped ',negative
'first try see this class has einstance ',negative
'try and get the resource selection determine current directory for the file dialog ',negative
'remember the file ',negative
'the work within operation ',negative
'authority use bases ',negative
'create resource set ',negative
'nonjavadoc see ',negative
'get the uri the model file ',negative
'returns true the given value archive scheme defined the system property default jar zip and archive are considered archives ',negative
'the feature bidirectional reference with multiplicitymany reverse composite reverse multiplicity reverse that already set value then well switch things around and execute this command little differently because otherwise its not undoable ',negative
'add the initial model object the contents ',negative
'sibling has been specified add the best index possible each commandparameter ',negative
'save the contents the resource the file system ',negative
'there are attributes handle ',negative
'make sure the file ends ecore ',negative
'genpackage can broken proxy ',negative
'create page set the title and the initial model file name ',negative
'never directly set multiplicitymany feature list directly instead remove the old values values move the values that remain and insert the new values all old values are removed well still set empty list unset appropriate ',negative
'get the resource ',negative
'this gives directory ',negative
'set this for the container ',negative
'the relative path empty ends empty segment parent reference self reference add trailing separator nonempty path ',negative
'this returns name like employeenumber formatted like employee number this returns the same getcapname unless starts with which case the stripped this returns the name used accessor method names its the same getcapname unless this the key value map entry for which typed prepended this returns the name the get arraybased accessor method for the list feature this returns the name the get accessor method for the feature either get prefixed getaccessorname ',negative
'for manytomany association the command can only undoable the value owner last its respective list since the undo will include inverse add the value last but the owner not create undoable compound command that removes from the opposite end and then inserts the new value ',negative
'newindexbits ',negative
'there list add collection empty collection from which add the index out range ',negative
'evirtualvalues newvalues ',negative
'this package check the package information this cat file then load the cat file into the tree thereby traversing otherwise just traverse the tree ',negative
'device use bases ',negative
'add listener set the most recent commands affected objects the selection the viewer with focus ',negative
'setting index make sure the index valid the type valid and the value isnt already unique feature record the old value ',negative
'since base must hierarchical and since nonhierarchical uri must have both scheme and opaque part the complete absolute uri needed resolve nonhierarchical uri ',negative
'make sure its okay ',negative
'the other end many then should remove the owner from the old values opposite feature that undo will put back ',negative
'look for likely plugin name ',negative
'create type parameters ',negative
'found data just return null ',negative
'its platform plugin uri include the map ',negative
'keep track all the entry features that are already the feature map and that will added excluding xml text cdata and comments were mixed type ',negative
'else keep authority device path and query ',negative
'determine the values added and add them the right position ',negative
'note its okay for two uris share segments array since neither will ever modify ',negative
'find the fragment root that can generate the right location default ',negative
'returns the base portion the dynamic template path ',negative
'nonjavadoc see ',negative
'remember ',negative
'either delegate the call return nothing ',negative
'now could check that the adapter implements interface ',negative
'its okay for there not precompiled template fail quietly ',negative
'dont need encode here because the only platform resource uris the map are for projects whose names are the same corresponding plugin ids and hence never need encoded see ',negative
'there must least one match ',negative
'nonjavadoc method declared dialog ',negative
'gentypeparameter ',negative
'this implements the following order preference full refresh and update full refresh add update necessary refresh element with update refresh element necessary update element ',negative
'gentypedelement ',negative
'the trycatch provides backwards compatibility with the old resource key uicreatechildlabel and should removed the next release when can expect users regenerate ',negative
'eatm color startcolor ',negative
'genruntimeversion ',negative
'these will the children belonging this feature ',negative
'genmodelpackage ',negative
'there executable command wed better nix the whole deal ',negative
'this returns either attribute attribute list reference reference list ',negative
'the encoding ',negative
'get the target object from the item widget and the mouse location ',negative
'add variable fragment new declaration ',negative
'determine can create valid command the current location ',negative
'load the resource through the editing domain ',negative
'nonjavadoc see javalangstring ',negative
'beginuserdoc the badapter factoryb for the model provides adapter codecreatexxxcode method for each class the model enduserdoc see generated ',negative
'otherwise the source should available now eventdata and can create the command ',negative
'either the item provider interface can give the children ',negative
'beginuserdoc the bswitchb for the models inheritance hierarchy supports the call link doswitcheobject doswitchobject invoke the codecasexxxcode method for each class the model starting with the actual class the object and proceeding the inheritance hierarchy until nonnull result returned which the result the switch enduserdoc see generated ',negative
'genmodelfactory ',negative
'current document reference keep path query ',negative
'ignore there not substantial change ',negative
'lower all except the last upper case character there are more than one upper case characters the beginning xsdelementcontent xsdelementcontent however the whole string upper case the whole string turned into lower case cpu cpu ',negative
'look for each unwrapped object value wrapper replacing with the first one found ',negative
'genannotation ',negative
'must unsettable feature empty and considered set ',negative
'matching authorities and device path removal ',negative
'always keep fragment even null and use scheme from base validation needed since all components are from existing uris ',negative
'check see container being put into contained object ',negative
'new addcommanddomain mapping siblingstoreparent ',negative
'static initialization ',negative
'trick import javautil without warnings ',negative
'allow existing manifestmf overwritten since may have been created part empty emf project use the existence pluginxml guard against overwriting project that has already been generated ',negative
'there isnt executable command should maybe try copy operation but only were allowed and not doing link ',negative
'the type string must qualified its package uri dtdxmidtdelement the package uri used look the package calling ',negative
'this will the default return value ',negative
'nonjavadoc see ',negative
'try again ',negative
'otherwise could check that the adapter implements interface iitemcolorprovider ',negative
'now could check that the adapter implements interface ',negative
'this turns featureless set command into operation create mapping this invoked during drag and drop ',negative
'genenumimpl ',negative
'weve switch the operation ',negative
'select the new file resource the current view ',negative
'the type isnt object need cast its primitive need unbox ',negative
'use stack accumulate segments base except for the last skip trailing separator and anything following and relative path ',negative
'now want find all the other objects with this same parent can collection siblings together and give the parent control over their removal ',negative
'cant have null name case were using emof serialization ',negative
'determine the objects parent ',negative
'its interface then will treated eclass ',negative
'this returns either eattribute ereference ',negative
'continue compute the offset ',negative
'defer the handling the opposite ',negative
'this guard for extra security but should not necessary ',negative
'this first for better error message during ',negative
'set properties ',negative
'index counters into indices indices and indices ',negative
'just remember its encoded later during execution which more efficient ',negative
'remove objects from the owner list index starting from the end ',negative
'genmodelfactoryimpl ',negative
'dont want insert object before after itself ',negative
'add iana java encoding mappings ',negative
'create code formatter for this compilation unit needed ',negative
'this the feedback use indicate drop will only used the command executable ',negative
'get the resource parent its file ',negative
'wed like the collection replacements selected after this replace completes ',negative
'repeatedly select the lower index and corresponding object and advance past the selected pair ',negative
'wrap any new children and add them the map remove each current child from the set old children ',negative
'ignore this soft dependency when its not satisfied ',negative
'simply remove the object from the owner list ',negative
'make unique new name here ',negative
'prepare for createchild item addition removal ',negative
'check all the siblings see which any should now nested under this new mapping the are accumulated into list that they can removed single command with single notification ',negative
'has problems assigning null class variable ',negative
'always returns original value ',negative
'use the original the add but only its the same type the copy this ensures that there conversion being done part the copy would the case for cross domain copy the mapping framework that actually use the converted instance ',negative
'add added super interfaces the array ',negative
'special case for reference ecore ensure that flag settings are respected and are set only for ecore itself ',negative
'not supported jdom ',negative
'only fragment left revert the changes ',negative
'well assume that all the createcopycommands and can execute ',negative
'split performed ',negative
'for removecommand will find the owner calling the objects being removed ',negative
'not supported jdom ',negative
'eatm ',negative
'name already contains unset demand property ',negative
'fill value byte fill value byte fill value byte fill value byte ',negative
'three arguments are expected the xml getcontrolmodel uri the source java uri and the target java uri ',negative
'for lists maps and feature maps the default manyvalued which can overridden upperbound declaration ',negative
'there ecore representation its invalid when used omit specification then just use the java representation ',negative
'containers are transient default unless explicitly annotated otherwise ',negative
'consider each genmodel location uri for each required plugin ',negative
'prepare for createsibling item addition removal ',negative
'get extra icon and bounds for first column ',negative
'force update because eclipse hides empty menus now ',negative
'the notification iviewernotification specifies how viewerrefresh should behave otherwise fall back which determines how refresh the viewer directly from the model notification ',negative
'remove any menu items for old selection ',negative
'setcommand needs through setcommandcreate ensure can execute and undo ',negative
'query the new selection for appropriate new childsibling descriptors ',negative
'generate actions for selection populate and redraw the menus ',negative
'draw ellipses offset down ',negative
'empty extension limit the effect suppressing the deprecation warning ',negative
'protected command domain object owner object feature object value return owner domain setcommandclass new feature value protected command domain object owner copycommandhelper helper return owner domain copycommandclass new null helper protected command domain object owner copycommandhelper helper return owner domain new null helper protected command domain object owner copycommandhelper helper return owner domain new null helper protected command domain object owner object feature collection collection return owner domain removecommandclass new feature collection protected command domain object owner object feature object value collection collection return owner domain replacecommandclass new feature value collection protected command domain object owner object feature collection collection int index return owner domain replacecommandclass new feature collection index protected command domain object owner object feature object value int index return owner domain replacecommandclass new feature value index protected command editingdomain domain object owner float location int operations int operation collection collection detail new operations operation return owner domain new detail collection ',negative
'iterate over all the plugin ids determine the dependency closure the list grows the plugins are visited ',negative
'look into ',negative
'else keep device path and query ',negative
'its really contained child return the feature for ',negative
'well need keep track the information use create the command that can recreate drop ',negative
'changes the parameters should also update the label ',negative
'returns true the nonrelative path includes segments that would collapsed when resolving false otherwise preserverootparents true collapsible segments include any empty segments except for the last segment well and parent and self references false parent references are not collapsible they are the first segment preceded only other parent references ',negative
'the shared instance ',negative
'ignore the unset notification for ismany feature the value boolean this case ',negative
'necessary get command that replaces unwrapped values their wrappers the result and affected objects ',negative
'inputstream contents new ',negative
'now could check that the adapter implements interface ',negative
'have children remove for this feature create command for ',negative
'create helpers cache and supply information for unique naming ',negative
'genannotationimpl ',negative
'create and cancel buttons default ',negative
'set the error message text see ',negative
'walk the fields ',negative
'index first segment that different between endpath and startpath ',negative
'the local transfer supports this data type switch that data type ',negative
'create the options model ',negative
'drop last segment from base resolving ',negative
'treat empty base path the root absolute path ',negative
'create enums ',negative
'this for backwards compatibility since the constructor may have been overridden before was expected set actiondelegate ',negative
'etype instanceof edatatype ',negative
'genmodelpackageimpl ',negative
'determine the required plugins ',negative
'column the dropdown indented past the collapseexpand icon ',negative
'does nothing ',negative
'user rejects relative path keep absolute path ',negative
'draw the icons ',negative
'assume that the editorinput file object ',negative
'matching devices and path removal ',negative
'clear the import manager ',negative
'order genpackages putting firstgenpackage nonnull first ',negative
'remember the viewer and listen swtdragdetect alert the start the drag operation ',negative
'genfeatureimpl ',negative
'text new textcomposite swtsingle swtborder ',negative
'the value null the key referenced object ',negative
'keep query and select relative absolute path based length ',negative
'set from link ischildren children unset and return value ',negative
'handle the creation the model from the modelfile ',negative
'for debugging purposes may removed the future ',negative
'through class super types catch any from other packages ',negative
'for the control case need dialog ask for the uri and obtain the resource then create the command ',negative
'support for proposed added the iana registry ',negative
'arent getting the domain from the workbench part this happens when this action used for global popup action try get the editing domain from one the objects the selection dms editingdomain null ',negative
'scan feature lists for those with multiple elements and return them ',negative
'nothing more and dont want the default stuff below ',negative
'gentypedelementimpl ',negative
'data type ',negative
'else keep shorter absolute path ',negative
'arent doing operation ',negative
'eobject handled default case ',negative
'clean the command there one need again drop well recreate from ',negative
'changes parameter types should also update the operations label ',negative
'convert ereference ',negative
'escaped unicode form ',negative
'weve found thing with type parameters search them for match ',negative
'filter out types that arent permitted ',negative
'need the wrapper not the item provider handle draganddropcommand the move add remove etc commands that implement will have their values unwrapped usual ',negative
'restore the persistent command stack need ',negative
'create generic super type with eclass the classifier for each super interface the model representation ',negative
'operation declared via the kind property for backwards compatibility specifying parameters though attribute reference kind takes precedence ',negative
'index specified when removing all elements ',negative
'check the name qualified ',negative
'avoid allowing choices that will lead duplicates ',negative
'return ',negative
'emfedit generation ',negative
'find the modeled package for the import and look the name there ',negative
'avoid allowing choice that will lead duplicates ',negative
'just helpful well recognize type and convert efeaturemapentry this way datatype need not specified but wont this false dont change the instanceclass new edatatype thats implicitly being defined for featuremap ',negative
'ensure that there are enough type arguments match the number type parameters ',negative
'wrappers from the old command parameter must considered order for cut and paste work ',negative
'you cannot add any children for type parameter ',negative
'look for the sibling value equivalent the new childs feature found the child should immediately follow ',negative
'clinit ',negative
'otherwise you cant make child ',negative
'let them choose type parameters well ',negative
'nonnls nonnls nonnls ',negative
'tbd ',negative
'list type value ',negative
'genpackageimpl ',negative
'protected jetemitter null ',negative
'iterate over all the child references factor each child the right reference ',negative
'dont care about plugin class can generate model without one ',negative
'removecommanddomain mapping nestedmappings addcommanddomain parentmapping nestedmappings ',negative
'when the value changed the property sheet page doesnt update the property sheet viewer input before refreshing and this gets called the obsolete wrapper need read directly from the model object return value ',negative
'genmodelimpl ',negative
'otherwise could check that the adapter implements interface iitemlabelprovider ',negative
'the size value ',negative
'not allow existing manifestmf overwritten the tests project originally generated from scratch ',negative
'user demands relative path the absolute path longer ',negative
'its definitely package expected constants ename ensprefix ensuri appear ',negative
'bottomlabelcase ',negative
'this ensures that the createcopycommand will executed ',negative
'not allow existing buildproperties overwritten the tests project originally generated from scratch ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'handle eopposite specially ',negative
'this owned object equal one from the collection ',negative
'there more than one exact match must get index number ',negative
'fill value byte fill value byte fill value byte fill value byte ',negative
'filter out classes that arent permitted ',negative
'genmodelvalidator ',negative
'read all the values into array ',negative
'this cant execute there owner list the owner list doesnt contain the value being replaced there are not replacements ',negative
'nonjavadoc see ',negative
'genmodelswitch ',negative
'now well recursive matchmapping need iterate over copy since modify the underlying list the loop ',negative
'this guard needed ensure that clear doesnt make the resource become loaded ',negative
'this done ensure that this new copy treated output the domain the will rely this setting ',negative
'havent yet encrypted decrypted generate key this key will only used for encryption decryption keys are always derived from the header the input stream itself ',negative
'clr ',negative
'write the header the output stream this has the format delimeters are not written pbe ivencryption ivencrypted key lengthencrypted key ',negative
'wed like the collection things added selected after this command completes ',negative
'iterate over the children find the owner ',negative
'handle the same document proxies which may have problems resulting from the other end bidirectional reference being handled idref rather than proxy when are done with these know that funny proxies are now resolved they were handled idrefs ',negative
'merges this uris relative path with the base nonrelative path base has path treat the root absolute path unless this has path either ',negative
'make unique new name here nonnls ',negative
'removecommand mappingroot ',negative
'dont want move insert object before after itself ',negative
'the cipheroutputstream shoudlnt close the underlying stream ',negative
'return ',negative
'nonjavadoc see ',negative
'absolute uri needs resolving ',negative
'note these assertions imply that neither this nor the base uri has relative path thus both have either absolute path path ',negative
'nonjavadoc see boolean ',negative
'simply add the collection the list ',negative
'note device null hierarchical ',negative
'valid fragment may null contain any allowed uri characters ',negative
'returns the dynamic template path ordered list uris corresponding locations under which find templates ',negative
'nonjavadoc see ',negative
'ignore the exception and return false ',negative
'note query null hierarchical ',negative
'return value null validatevalue urichi uriclo true true ',negative
'beginuserdoc the bswitchb for the models inheritance hierarchy supports the call link doswitcheobject doswitchobject invoke the codecasexxxcode method for each class the model starting with the actual class the object and proceeding the inheritance hierarchy until nonnull result returned which the result the switch enduserdoc see generated ',negative
'datatype ',negative
'beginuserdoc the bswitchb for the models inheritance hierarchy supports the call link doswitcheobject doswitchobject invoke the codecasexxxcode method for each class the model starting with the actual class the object and proceeding the inheritance hierarchy until nonnull result returned which the result the switch enduserdoc see generated ',negative
'beginuserdoc the bswitchb for the models inheritance hierarchy supports the call link doswitcheobject doswitchobject invoke the codecasexxxcode method for each class the model starting with the actual class the object and proceeding the inheritance hierarchy until nonnull result returned which the result the switch enduserdoc see generated ',negative
'nonjavadoc see ',negative
'not want diagnose any error that have already been diagnosed super type ',negative
'creates the model from the editor input ',negative
'beginuserdoc the bswitchb for the models inheritance hierarchy supports the call link doswitcheobject doswitchobject invoke the codecasexxxcode method for each class the model starting with the actual class the object and proceeding the inheritance hierarchy until nonnull result returned which the result the switch enduserdoc see generated ',negative
'tests the nonnull string value see contains only ascii characters the set represented the specified bit bitmask well optionally nonascii characters and above and also optionally escape sequences followed two hex digits this method used for the new strict uri validation that not not currently place ',negative
'the workbench part changes ',negative
'backward compatibility with old generated overrides ',negative
'for manyto use setcommandcreate create the command remove the opposite reference removecommand its opposite will actually result ',negative
'add all converted fields after the last final field that used initializers the converted fields ',negative
'char buffer for html data ',negative
'endpath shorter than startpath the last segment endpath may not compared because startpath has been collapsed and had its last segment removed all preceding segments can considered non empty and followed separator while the last segment endpath will either nonempty and not followed separator just empty ',negative
'ignore because well rethrow the original exception eventually ',negative
'path form demands absolute path keep and query ',negative
'continue processing dynamically normal ',negative
'iterate over all the operations but skip all the operations the first super ',negative
'for feature maps test that the entry feature valid type that the entry value instance that there not already something document root and that there not already something singlevalued entry feature ',negative
'pure obfuscated genius ',negative
'match close ',negative
'take care the quoting here ',negative
'skip empty segments and self references push everything else ',negative
'for tomany association doing the set remove and add from the other end will make undoable particular there existing nonnull value first need remove from the other end that will reinserted the correct index undo ',negative
'close ncsa like attributes ',negative
'nonjavadoc see ',negative
'super called converted node ',negative
'convert the selection collection the selected objects ',negative
'assume length will grow average line length characters ',negative
'ignore the version ',negative
'reached eof ',negative
'close variable like attributes ',negative
'xmlesque close tags ',negative
'command line execution methods ',negative
'compute map resource location uris logical namespace uris that cross references will resolved via package registry when deserialized ',negative
'for manyto association the opposite reference the new value already set something need compound command that first explicitly removes that reference that will restored the undo ',negative
'push ',negative
'check whether the character the range ',negative
'sweep ',negative
'nonjavadoc see ',negative
'pull ',negative
'the referencedepackages list used track the packages for which necessary create the stub genmodel the epackage referenced existing genpackage doesnt need added referencedepackages ',negative
'pull name ',negative
'were not setting new resource attach the old containers resource ',negative
'apply target parent pattern first ',negative
'include each required plugin the starting project and the exported ones all the required projects ',negative
'not crash when control model not set ',negative
'clone and map ',negative
'nonjavadoc see ',negative
'sort ',negative
'will create eattribute ereference eoperation ',negative
'read value until delimiter found ',negative
'check whether there are parameters the special attribute and reference rules only apply for the case arguments ',negative
'cannot clone ',negative
'redo the markup since nodes changed now ',negative
'use new node from now ',negative
'look through the imports the containing compilation unit ',negative
'purpose using charset from targetfile encode inmemory newcontents object into bytes modifer zhi qiang date aug action first get the charset from targetfile then use encode the newcontents object into bytes ',negative
'ignore the exception ',negative
'headless invocation ',negative
'for any entry that doesnt correspond plugin the running jvm compute url for the classes ',negative
'dont want keytype and valuetype map type specification package interface but also use qualified model information when defining feature with suppressed get accessor the interface and want include these properties that case ',negative
'ignore char tokens ',negative
'back over the whitespace ',negative
'target method not addsuperinterface ',negative
'default nodes are marked ',negative
'the parent not target there point checking the child ',negative
'devanagari sign viramamnonn bengali sign viramamnonn gurmukhi sign viramamnonn gujarati sign viramamnonn oriya sign viramamnonn tamil sign viramamnonn telugu sign viramamnonn kannada sign viramamnonn malayalam sign viramamnonn thai character phinthumnonnthai vowel sign phinthu tibetan mark halantamnonntibetan virama ',negative
'the flag will straddle two fields bump the next one ',negative
'fill value byte ',negative
'update the containing map necessary ',negative
'expect there least one archive path ',negative
'characters use escaping ',negative
'there provider base class from outside this class that has already been generated get the create child references from well check for any typecompatible classes introduced this package ',negative
'private constructor for use static factory methods ',negative
'nonjavadoc see ',negative
'for all nodes but some use default extended range ',negative
'iri iri ',negative
'there are multiple variables the same field declaration create declaration with only variable ',negative
'private constructor for use platform factory methods ',negative
'iri iri ',negative
'debugging method converts the given long string binary digits ',negative
'replace append ',negative
'returns the upper half bitmask for the given acsii character ',negative
'skip whitespace the end the line ',negative
'uricharati fragmentseparator implied ',negative
'enable tracking for nodes that have string content ',negative
'apply header ',negative
'enable tracking for commented out nodes ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'returns the lower half bitmask for the given ascii character ',negative
'return the line number the start the node ',negative
'mappingpackageimpl ',negative
'revert all current edits for this node ',negative
'this line has been commented out return next line number ',negative
'find the appropriate parent mapping which the very least should the mapping root itself ',negative
'there anything after the node the same line insert line break ',negative
'separators for parsing uri string ',negative
'comment out all lines the node itself from firstline last line ',negative
'this tricky and done for each object here rather than once for the owner the addcommnd want make sure the object really part the conceptual tree induced the domain ',negative
'next position checked well ',negative
'cant blindly cache the genmodel since need support moving the genpackage another container but the cast expensive wed like more than absolutely necessary ',negative
'handle the case when there replace edit that covers these lines ',negative
'its the selection viewer then want select the same selection this selection ',negative
'there any content after the node the same line insert line break prevent commenting out extra content ',negative
'skip all lines that replace edit covers ',negative
'should not happen rethrow exception ',negative
'make sure that dummy edit not the tree ',negative
'char currentpos copied well ',negative
'belongs this package the delegate feature from this package the class from this package and either there delegate feature the delegate feature from some used package ',negative
'lastpos currentpos points the next chars that will copied later ',negative
'there anything before the node the same line create line break and comment out the first line the node ',negative
'copy last piece any ',negative
'set uris epackagecontaining resources output resource desired target uri and others package namespace uris crossreferences will resolved via package registry when deserialized ',negative
'comma line itself comment out but not insert the line break ',negative
'nonjavadoc see boolean ',negative
'previous node not commented out but all the following nodes are comment out comma constant separator ',negative
'need filer out duplicates the unlikely event that have two features with the same classqualified name well only generate one property string that case and let the user add the second one manually necessary ',negative
'previous node not commented out but all following are ',negative
'since will the processing recursively need ensure dont stack overflow there circular super type ',negative
'fill value byte fill value byte fill value byte ',negative
'delete variable fragment from old declaration ',negative
'catunit file referenced mdl file ',negative
'ignore features from the first super type ',negative
'volatile ',negative
'null ',negative
'uses cache speed creation uri from string the cache consulted see the uri less any fragment has already been created needed the fragment reappended the cached uri which considerably more efficient than creating the whole uri from scratch the uri wasnt found the cache created using parseintouri and then cached this method should always used stringparsing factory methods instead parseintouri directly ',negative
'fill value byte fill value byte ',negative
'object ',negative
'this could method body for example ',negative
'primitive type can only used the generic type typed element ',negative
'range look for comments ',negative
'discard the old editing domain ',negative
'skip archive accessor handled delegation the scheme nested url ',negative
'userinfo can contain alphanumerics mark characters escaped and ',negative
'return eproperties ',negative
'set javadoc ',negative
'add java iana encoding mappings fjavaianamapput usascii ',negative
'returns the int value the given hex digit ',negative
'the for loops condition finds the separator ',negative
'parse count the archive paths that must will delegated the nested url based the number schemes the start ',negative
'fill value byte fill value byte fill value byte ',negative
'assume that arent running ',negative
'assume that the node being moved allow insertion after ',negative
'mappingpackage epackage ',negative
'and even contained must not forward reference etypeparameterindex index allowed when the type parameter the type argument the bound though ',negative
'remove all existing modifiers ',negative
'append extra dimensions any ',negative
'create new modifiers and add rewrite ',negative
'can also optimize single valued reverse ',negative
'beginuserdoc the badapter factoryb for the model provides adapter codecreatexxxcode method for each class the model enduserdoc see generated ',negative
'create proxy the correct way and pop ',negative
'null relative uri reference ',negative
'ecore set the enamedelement name ',negative
'was not warning diagnostic then return the diagnostic image ',negative
'maintain list classifiers for looking conflicts ',negative
'only one example per wizard ',negative
'ecorexmlfactory ',negative
'xmlmap ',negative
'append variable arity parameter see jls ',negative
'xmlinfoimpl ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'anytype ',negative
'image good default ',negative
'applicable only hierarchical uri ',negative
'apply redirection pattern specified ',negative
'create new node and replace all original contents ',negative
'make all enum constants separate lines ',negative
'avoid unnecessary outwrite statements ',negative
'set comment and initializer strings ',negative
'nonjavadoc see ',negative
'set annotation contents ',negative
'regname unreserved escaped ',negative
'nonjavadoc see orgwcdomnode javautilmap ',negative
'update the wrapped object map ',negative
'nonjavadoc see ',negative
'skip nodes hierarchy that can not converted jnode ',negative
'there root object were dealing with eattribute feature instead ereference feature create instance simple any type and prepare handle the text content ',negative
'get rewriter ',negative
'path everything query string fragment ',negative
'insert new declaration before this one ',negative
'there element with end position rangeendpos ',negative
'computes the default path for the given genmodel this was previously the implementation gettemplatepath ',negative
'extend range backward ',negative
'cant want encoding platform resource uris default yet ',negative
'create map field names fields ',negative
'create the output stream the temporary file and the input stream for the delegate url ',negative
'boolean iri false ',negative
'extend include the comment the same line the position ',negative
'else there comment that ends exactly rangeendpos ',negative
'handle field declarations separately ',negative
'the previous element must have end position rangeendpos ',negative
'last bits should zero ',negative
'else there comment that starts exactly rangestartpos ',negative
'commandparameter instanceof ',negative
'extend range forward ',negative
'increments the position add the white spaces ',negative
'add trailing whitespace ',negative
'set source ',negative
'create label there are children force smaller layout ',negative
'returning null here causes delegated and there return command remove mappedobject instead return null ',negative
'mark the node moved node has been removed ',negative
'enable commenting out ',negative
'initialization deferred until adapters are attached all the objects interest and were about ask them generate ',negative
'counter for the number bit sections read the address ',negative
'disable commenting out ',negative
'determine the inverse map from plugin ids their registered genmodel locations ',negative
'cache uris keyed the strings from which they were created the fragment any uri removed before caching here minimize the size the cache the usual case where most uris only differ the fragment ',negative
'mark the node removed ',negative
'well rethrow the original exception not this one ',negative
'are dealing with original not cloned node ',negative
'celleditorsetvalue calls iscorrect validate the value that about set are doing conversion between the value and corresponding string and would usually like validate the string because setvalue final cannot that conversion there need record what were trying validate and work around the problem iscorrect ',negative
'stringvalue not null nodevalue null ',negative
'this link isiri iri converts strict ascii uri using the procedure described section the draft rfca otherwise this uri itself returned this unused code included for possible future use ',negative
'insert new values ',negative
'convert only fields the same type parent ',negative
'move all children the enum converting some fields constants ',negative
'set the type create ',negative
'include line comments following end the nodes into the range ',negative
'move annotations ',negative
'set arguments and body ',negative
'update the wrapped object ',negative
'unable set arguments body ',negative
'check there just whitespace between position and start the comment ',negative
'create field declaration with variable declaration fragment ',negative
'debug name ',negative
'record the part ',negative
'replace type enum ',negative
'insert nodetoinsert after targetnode ',negative
'convert enum constants and add list converted constants ',negative
'move the node ',negative
'set initializer ',negative
'set arguments ',negative
'set the whole initializer ',negative
'set the body ',negative
'update last field that used ',negative
'set the arguments the constructor ',negative
'perform split there more than fragment ',negative
'return the whole declaration contents not just ',negative
'set rewritten node the original ',negative
'not overlapped src src res empty reuse src ',negative
'check number fragments ',negative
'this class provides encodedecode for rfc base defined rfc freed and borenstein rfc multipurpose internet mail extensions mime part one format internet message bodies reference available this class used xml schema binary format validation this implementation does not encodedecode streaming data you need the data that you will encodedecode already byte array author jeffrey rodriguez author sandy gao ',negative
'create copy declaration ',negative
'set annotations contents ',negative
'create temporary file where the existing contents the archive can written before the new contents are added ',negative
'throwable ',negative
'ensure correct indentation for top level attribute elementnamesaddmark ',negative
'new template container label ',negative
'container specification group ',negative
'since ',negative
